MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"NGC    44" "" "NGC    44" "NGC 44" "" "" "00 13.1" "+31 18" "Object of unknown nature" "" "" "" ""
"NGC    45" "" "NGC    45|AGC  20156|AM 0011-232|DDO 223|6dFGS gJ001404.5-231102|6dFGS gJ001404.1-231050|ESO 473-1|ESO-LV 473-0010|GLXY G055.9-80.7+458|HIPASS J0014-23|IRAS 00115-2327|IRAS F00115-2327|ISG  2|LCSB L6|LEDA     930|2MASX J00140398-2310555|2MASXI J0014039-231054|MCG-04-01-021|RR95   4b|SGC 001131-2327.7|SINGG HIPASS J0014-23|UGCA   4|[CHM2007] LDC   26 J001403.98-2310555|[CHM2007] HDC    7 J001403.98-2310555|[M98c] 001131.0-232742|[MI94] Sm   2" "NGC 45" "" "" "00 14 03.989" "-23 10 55.53" "Low Surface Brightness Galaxy" "" "" 0.0015530 10.729999542236328
"TYC    8-572-1" "" "TYC    8-572-1|Gaia DR1 2742328612676969344|GSC 00008-00572|2MASS J00140989+0559158|NGC    46|PPMX J001409.8+055915|UCAC2  33683502|UCAC3 192-840" "NGC 46" "" "" "00 14 09.8861" "+05 59 15.846" Star "" 3.390 "" 11.680000305175781
"NGC    47" "" "NGC    47|AGC 400160|6dFGS gJ001430.6-071003|HIPASS J0014-07|IRAS 00119-0726|LEDA     967|2MASX J00143065-0710028|MCG-01-01-055|NGC    58|PSCz Q00119-0726|[CHM2007] LDC   10 J001430.65-0710028|[CHM2007] HDC    9 J001430.65-0710028" "NGC 47" "" "" "00 14 30.655" "-07 10 02.84" "Galaxy in Group of Galaxies" "" "" 0.0192540 ""
"NGC    48" "" "NGC    48|IRAS 00113+4757|LEDA     929|2MASX J00140221+4814055|MCG+08-01-031|PSCz Q00113+4757|UGC   133|UZC J001402.2+481405|Z 549-27|Z 0011.4+4758|[WGB2006] 001142+47580 d" "NGC 48" "" "" "00 14 02.215" "+48 14 05.57" Galaxy "" "" 0.0167600 ""
"NGC    49" "" "NGC    49|LEDA     952|2MASX J00142243+4814475|MCG+08-01-033|NPM1G +47.0008|UGC   136|UZC J001422.5+481448|Z 549-29|Z 0011.7+4758|[CHM2007] LDC    6 J001422.43+4814475|[CHM2007] HDC   10 J001422.43+4814475|[WGB2006] 001142+47580 a" "NGC 49" "" "" "00 14 22.435" "+48 14 47.54" "Galaxy in Group of Galaxies" "" "" 0.0167300 ""
"NGC    50" "" "NGC    50|6dFGS gJ001444.6-072042|GSC 04670-01062|LEDA     983|2MASX J00144455-0720423|MCG-01-01-058|NVSS J001444-072041|SDSS J001444.57-072042.4|[CHM2007] LDC   10 J001444.55-0720423|[CHM2007] HDC    9 J001444.55-0720423" "NGC 50" "" "" "00 14 44.555" "-07 20 42.38" "Galaxy in Group of Galaxies" "" "" 0.0183290 ""
"NGC    51" "" "NGC    51|LEDA     974|2MASX J00143489+4815198|MCG+08-01-035|NPM1G +47.0009|UGC   138|UZC J001435.0+481520|Z 549-31|Z 0011.9+4759|[CHM2007] LDC    6 J001434.89+4815198|[CHM2007] HDC   10 J001434.89+4815198|[WGB2006] 001142+47580 b" "NGC 51" "" "" "00 14 34.895" "+48 15 19.86" "Galaxy in Group of Galaxies" "" "" 0.0186200 ""
"NGC    52" "" "NGC    52|IRAS F00120+1818|IRAS 00120+1818|LEDA     978|2MASX J00144010+1834551|MCG+03-01-030|2MFGC 177|PSCz Q00120+1818|UGC   140|UZC J001440.2+183454|WEB  4974|XMMSL1 J001439.7+183449|Z 0012.0+1817|Z 456-42|[CHM2007] LDC   11 J001440.10+1834551" "NGC 52" "" "" "00 14 40.101" "+18 34 55.15" "Galaxy in Group of Galaxies" "" "" 0.0180490 ""
"NGC    53" "" "NGC    53|AM 0012-603|APMBGC 111-079+028|6dFGS gJ001442.8-601942|ESO-LV 111-0200|ESO 111-20|LEDA     982|2MASX J00144279-6019425|SGC 001215-6036.4|[A81] 001213-6036" "NGC 53" "" "" "00 14 42.800" "-60 19 42.55" Galaxy "" "" 0.0152840 ""
