MAIN_ID ID_NAME ID_HD ID_NGC RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"HD   6660A" "" "HD 6660A" "" "01 07 37.8744" "+22 57 17.926" "High proper-motion Star" K4V 49.000 "" 9.149999618530273
"HD   6660B" "" "HD 6660B" "" "01 07 38.517" "+22 57 21.85" "High proper-motion Star" M3.5Ve "" 0.0000530 13.600000381469727
"BD+16   120" "" "" "" "01 08 40.3591" "+17 14 33.363" "High proper-motion Star" K7V 34.670 -0.0001200 10.519000053405762
"* bet And" "NAME MIRACH" "HD 6860" "" "01 09 43.9238" "+35 37 14.007" "High proper-motion Star" M0+IIIa 16.520 0.0000000 2.049999952316284
"*  44 And" "" "HD 6920" "" "01 10 18.7410" "+42 04 53.306" "High proper-motion Star" F8V 19.130 -0.0000470 5.664999961853027
"CD-68    47" "" "" "" "01 10 22.9027" "-67 26 41.852" "Double or multiple star" M2.5V 122.040 0.0000870 9.824000358581543
"V* YZ Cet" "" "" "" "01 12 30.6391" "-16 59 56.335" "Flare Star" M4.0Ve 271.010 0.0000940 12.074000358581543
"*  37 Cet" "" "HD 7439" "" "01 14 24.0404" "-07 55 22.171" "Double or multiple star" F5V 42.760 0.0000720 5.130000114440918
"HD   7438" "" "HD 7438" "" "01 14 22.4327" "-07 54 39.252" "High proper-motion Star" K1(V) 41.760 0.0000530 7.869999885559082
"HD   7621" "" "HD 7621" "" "01 14 40.4574" "-64 45 51.114" "High proper-motion Star" K0IV/V 17.450 0.0001870 9.039999961853027
"* nu. Phe" "" "HD 7570" "" "01 15 11.1215" "-45 31 53.995" "High proper-motion Star" F9VFe+0.4 66.160 0.0000420 4.960000038146973
"HD   7693" "" "HD 7693" "" "01 15 00.9940" "-68 49 08.081" "Double or multiple star" K2V+K3V 46.200 0.0000300 7.238999843597412
"HD   7693A" "" "HD 7693A" "" "01 15 00.361" "-68 49 08.71" "High proper-motion Star" K2V "" "" 7.739999771118164
"HD   7693B" "" "HD 7693B" "" "01 15 00.238" "-68 49 09.29" "High proper-motion Star" K3V "" "" 8.319999694824219
"G  69-62" "" "" "" "01 16 39.3583" "+25 19 53.321" "High proper-motion Star" M0V 41.850 -0.0000800 10.067999839782715
"* kap Tuc" "" "HD 7788" "" "01 15 46.1622" "-68 52 33.335" "Double or multiple star" F6V+K1V 47.720 0.0000260 4.25
"* kap Tuc A" "" "HD 7788A" "" "01 15 46.151" "-68 52 33.51" "High proper-motion Star" F6V "" 0.0000250 4.860000133514404
"* kap Tuc B" "" "HD 7788B" "" "01 15 45.580" "-68 52 29.55" "High proper-motion Star" K1V "" 0.0000280 7.579999923706055
"HD   7808" "" "HD 7808" "" "01 17 34.0249" "-15 30 11.947" "High proper-motion Star" K4V 30.900 -0.0000300 9.803000450134277
"LHS  1228" "" "" "" "01 18 16.0098" "-12 53 59.380" "High proper-motion Star" M2 42.010 -0.0000070 11.795999526977539
"CD-48   329" "" "" "" "01 17 59.3780" "-48 09 01.117" "High proper-motion Star" "" 28.490 -0.0000480 11.57699966430664
"HD   7895" "" "HD 7895" "" "01 18 41.0997" "-00 52 03.256" "High proper-motion Star" K1V 36.180 0.0000540 8.0
"HD   7895B" "" "HD 7895B" "" "01 18 40.2159" "-00 52 27.825" "High proper-motion Star" K7Ve "" 0.0000630 10.678999900817871
"BD+79    38" "" "" "" "01 21 30.9120" "+80 09 06.480" "High proper-motion Star" K5V 41.160 -0.0000680 9.647000312805176
"HD   7924" "" "HD 7924" "" "01 21 59.1136" "+76 42 37.039" Star K0.5V 58.790 -0.0000780 7.166999816894531
"CD-42   469" "" "" "" "01 21 34.5939" "-41 39 23.049" "High proper-motion Star" M0Vk: 59.620 0.0000970 10.130000114440918
"HD   8389" "" "HD 8389" "" "01 23 02.6386" "-12 57 57.845" "High proper-motion Star" K0VCN+2 33.480 0.0001160 7.840000152587891
"G 272-8" "" "" "" "01 23 00.614" "-12 57 30.21" "High proper-motion Star" M1V "" "" 10.300000190734863
"G 272-8" "" "" "" "01 23 00.614" "-12 57 30.21" "High proper-motion Star" M1V "" "" 10.300000190734863
"HD   8638" "" "HD 8638" "" "01 24 49.2069" "-27 50 20.562" "High proper-motion Star" G6V(w) 24.420 0.0002820 8.359999656677246
"* del Cas" "NAME Ruchbah" "HD 8538" "" "01 25 48.9514" "+60 14 07.022" "Eclipsing binary of Algol type" A5IV 32.810 0.0000220 2.680000066757202
"V* EO Psc" "" "HD 8997" "" "01 29 04.8982" "+21 43 23.407" "Variable of RS CVn type" K2.5V 43.230 0.0000710 7.703999996185303
"HD   9540" "" "HD 9540" "" "01 33 15.8091" "-24 10 40.654" "High proper-motion Star" K0V 51.850 0.0000180 6.9629998207092285
"HD   9540" "" "HD 9540" "" "01 33 15.8091" "-24 10 40.654" "High proper-motion Star" K0V 51.850 0.0000180 6.9629998207092285
"G 274-60" "" "" "" "01 33 00.03" "-24 14 58.6" "High proper-motion Star" "" "" "" 12.770000457763672
"HD   9407" "" "HD 9407" "" "01 34 33.2657" "+68 56 53.283" "High proper-motion Star" G6.5V 48.410 -0.0001110 6.53000020980835
"HD   9562" "" "HD 9562" "" "01 33 42.8360" "-07 01 31.234" "High proper-motion Star" G1V 33.880 -0.0000500 5.760000228881836
"HD   9546" "" "HD 9546" "" "01 35 24.2832" "+63 04 55.075" Star K1V 7.980 -0.0001060 6.690000057220459
"HD   9770" "" "HD 9770" "" "01 35 01.0350" "-29 54 37.016" "Double or multiple star" K1V 46.240 0.0001120 7.0960001945495605
"* ups And" "NAME Titawin" "HD 9826" "" "01 36 47.8421" "+41 24 19.644" "Spectroscopic binary" F9V 74.120 -0.0000950 4.099999904632568
"HD  10002" "" "HD 10002" "" "01 37 08.6274" "-29 23 35.748" "High proper-motion Star" G9V 29.490 0.0000390 8.130000114440918
"Ross   10" "" "" "" "01 38 21.62" "+57 13 57.1" "High proper-motion Star" M2.5Ve 86.200 "" 11.1899995803833
"LAWD 10" "" "" "" "01 37 59.34" "-04 59 44.3" "White Dwarf" DA+D1 81.000 "" 12.829999923706055
"GJ    65" "" "" "" "01 39 01.453" "-17 57 02.05" "Double or multiple star" M5.5V+M6V 375.000 0.0000970 12.079999923706055
"GJ    65 A" "" "" "" "01 39 01.45" "-17 57 02.0" "Flare Star" M5.5V "" "" 12.699999809265137
"GJ    65 B" "" "" "" "01 39 01.54" "-17 57 00.4" "Flare Star" M6V "" 0.0000970 13.199999809265137
"HD  10086" "" "HD 10086" "" "01 39 36.0183" "+45 52 39.985" "High proper-motion Star" G5V 47.970 0.0000070 6.610000133514404
"CD-47   502" "" "" "" "01 39 41.7689" "-46 30 35.823" "High proper-motion Star" M0 28.310 0.0001190 9.890000343322754
"* p Eri" "" "" "" "01 39 47.5395" "-56 11 47.099" "Double or multiple star" K2V+K2V 127.840 0.0000780 5.070000171661377
"* p Eri B" "" "HD 10361" "" "01 39 47.557" "-56 11 47.34" "High proper-motion Star" K2V "" 0.0000650 5.796999931335449
"* p Eri A" "" "HD 10360" "" "01 39 47.555" "-56 11 36.16" "High proper-motion Star" K2V "" 0.0000750 5.960000038146973
"HD  10307" "" "HD 10307" "" "01 41 47.1431" "+42 36 48.122" "Spectroscopic binary" G1V 78.500 0.0000100 4.960000038146973
"HD  10307" "" "HD 10307" "" "01 41 47.1431" "+42 36 48.122" "Spectroscopic binary" G1V 78.500 0.0000100 4.960000038146973
"HD  10307" "" "HD 10307" "" "01 41 47.1431" "+42 36 48.122" "Spectroscopic binary" G1V 78.500 0.0000100 4.960000038146973
